totage,drybio_bole
20,11.445105
56,11.736317
22,13.730262
8,14.28146
33,14.47342
24,15.930494
39,16.103318
18,16.103318
35,16.103318
30,16.376256
31,16.995763
51,17.37437
38,17.424576
19,17.468006
30,17.468006
24,17.468006
59,17.800474
12,18.286819
64,18.309059
40,18.525811
35,18.559757
24,18.559757
21,18.832694
22,19.37857
52,19.651507
34,20.197382
50,20.298588
71,20.46096
25,20.512128
47,20.649425
40,20.743258
22,21.098189
57,21.15307
38,21.289133
8,21.56207
40,21.56207
15,21.56207
30,21.629088
52,21.835008
34,21.835008
25,22.107946
17,22.107946
31,22.563341
43,22.563341
28,22.774821
39,22.856371
23,22.926758
45,23.140616
27,23.149021
19,23.149402
39,23.394908
46,23.446941
32,23.472634
70,23.649201
36,23.810998
42,23.833063
43,23.843376
62,23.973491
13,24.018509
45,24.018509
20,24.09182
59,24.291446
60,24.412078
31,24.614554
37,24.614554
39,24.666371
28,24.76656
26,24.801354
11,24.837322
21,24.837322
19,24.837322
25,24.907584
36,24.907584
32,24.930404
27,25.01616
43,25.089742
41,25.200614
20,25.656134
29,25.656134
25,25.656134
50,25.917216
12,25.929072
15,25.929072
51,25.954906
36,26.080592
56,26.125632
11,26.474947
39,26.474947
36,26.62374
52,26.665766
20,26.958797
41,26.996486
66,27.008467
17,27.020822
27,27.020822
72,27.396845
51,27.43104
30,27.544858
80,27.554093
50,27.554093
77,27.67596
27,27.768347
28,27.837888
46,27.839635
25,27.839635
65,28.226465
45,28.41072
39,28.423949
17,28.423949
39,28.65564
51,28.683533
37,28.716979
69,28.90056
47,28.90056
22,28.921052
47,28.951603
42,28.95956
26,29.069989
19,29.204323
70,29.243635
24,29.59607
41,29.60905
46,29.63532
67,29.723065
14,29.736595
49,29.88024
41,29.889101
51,29.916219
65,29.916219
31,29.93775
49,30.023136
65,30.12516
51,30.282221
22,30.296074
38,30.296074
42,30.470494
32,30.479904
17,30.569011
25,30.569011
24,30.569011
46,30.615
27,30.722316
36,30.768192
40,30.808303
40,30.827846
26,30.841949
66,30.85992
24,30.986842
75,31.023683
68,31.061222
28,31.061222
53,31.100659
126,31.100659
17,31.114886
62,31.114886
24,31.114886
31,31.350758
53,31.354253
37,31.364237
41,31.364237
21,31.373472
16,31.387824
34,31.59468
26,31.612256
60,31.614533
49,31.646285
36,31.647283
18,31.647283
66,31.647283
31,31.673271
26,31.673271
35,31.722662
32,31.760352
37,31.8396
35,31.8396
48,31.900378
51,31.940314
33,31.940314
43,32.01105
41,32.01105
58,32.17329
32,32.221613
24,32.364211
22,32.501589
37,32.526374
37,32.526374
56,32.526374
46,32.526374
51,32.57436
25,32.65704
58,32.737536
45,32.81928
51,32.819405
43,32.876214
55,32.876214
49,32.932335
46,32.932335
26,32.974913
71,33.010349
17,33.02545
25,33.02545
71,33.032692
56,33.0642
32,33.0642
54,33.0642
76,33.112435
30,33.112435
69,33.283162
43,33.283162
30,33.310855
41,33.310855
81,33.452989
56,33.452989
31,33.527894
46,33.555974
26,33.555974
64,33.68637
50,33.79896
68,33.828787
27,33.842673
34,33.844262
26,33.963322
71,34.029765
37,34.029765
35,34.044941
64,34.1016
71,34.1016
25,34.1172
47,34.138256
51,34.190346
46,34.284557
51,34.284557
52,34.284557
55,34.2888
30,34.398749
17,34.471382
106,34.478668
29,34.508531
45,34.53372
43,34.606541
44,34.647226
44,34.647226
60,34.647226
22,34.663075
21,34.663075
60,34.77864
41,34.77864
23,34.870618
51,34.894929
52,34.920038
90,34.920038
12,34.936013
61,35.02356
47,35.02356
116,35.02356
52,35.163648
52,35.163648
153,35.180646
91,35.192851
45,35.192851
54,35.192851
50,35.20895
40,35.20895
43,35.26848
56,35.346655
56,35.346655
55,35.351956
42,35.385293
31,35.433106
21,35.433106
70,35.456678
26,35.456678
24,35.481888
50,35.481888
66,35.5134
56,35.578195
36,35.653363
36,35.70503
36,35.70503
32,35.735313
50,35.738477
51,35.738477
60,35.85524
26,35.960251
19,36.042739
52,36.042739
71,36.04848
32,36.04848
46,36.109532
31,36.140458
67,36.171169
42,36.186904
42,36.24816
17,36.284102
35,36.300701
56,36.49308
21,36.556915
82,36.570202
19,36.573638
31,36.575885
27,36.575885
39,36.6288
52,36.6288
51,36.738
80,36.829728
67,36.829728
66,36.829728
36,36.879836
79,36.92183
56,36.92183
82,36.993715
31,37.011312
21,37.011312
37,37.011312
33,37.150464
35,37.214861
51,37.22784
40,37.22784
27,37.269695
22,37.300494
14,37.375354
60,37.375354
32,37.375354
46,37.375354
20,37.392451
33,37.392451
14,37.392451
27,37.442434
37,37.446739
40,37.47276
76,37.47276
87,37.490419
38,37.507891
43,37.648166
61,37.71768
27,37.882166
51,37.920979
14,37.938326
55,37.9626
30,37.9626
34,38.08267
75,38.143872
24,38.181478
55,38.20752
30,38.211264
32,38.317594
77,38.355583
52,38.355583
25,38.410969
55,38.45244
105,38.45244
96,38.45244
81,38.466605
61,38.466605
43,38.739268
62,38.739418
55,38.739418
55,38.739418
15,38.757139
20,38.757139
51,38.94228
18,38.973043
51,39.01223
71,39.01223
55,39.01223
19,39.030077
19,39.030077
41,39.067567
90,39.124729
31,39.188448
37,39.188448
57,39.220746
38,39.266074
51,39.285043
14,39.303014
58,39.43212
42,39.505598
65,39.509134
53,39.509134
33,39.509134
71,39.557856
41,39.557856
72,39.559104
38,39.575952
31,39.623875
31,39.623875
26,39.623875
46,39.67704
51,39.830669
67,39.852134
45,39.92196
50,40.04098
26,40.052463
43,40.103482
46,40.103482
87,40.103482
80,40.103482
46,40.145165
57,40.145165
51,40.16688
41,40.16688
57,40.282894
26,40.29948
26,40.35088
65,40.376294
45,40.4118
27,40.49473
25,40.49473
26,40.49473
47,40.649107
33,40.65672
56,40.65672
56,40.65672
15,40.667702
24,40.667702
32,40.692566
47,40.731226
47,40.731226
36,40.746701
47,40.746701
22,40.78476
66,40.90164
51,40.951073
18,41.024256
31,41.024256
86,41.068111
80,41.194733
62,41.194733
51,41.194733
58,41.194733
49,41.213578
46,41.224715
75,41.226673
40,41.39148
41,41.39148
67,41.467546
62,41.467546
31,41.652521
37,41.716321
32,41.801011
15,41.801011
27,41.867687
51,41.88132
41,41.88132
42,41.903347
55,42.013171
12,42.03239
57,42.08205
46,42.086402
86,42.104625
56,42.12624
36,42.12624
56,42.12624
75,42.12624
41,42.196378
36,42.236438
31,42.236438
77,42.285984
36,42.285984
71,42.350556
70,42.558797
61,42.83161
44,42.83161
50,42.83161
41,42.861
51,42.861
27,42.861192
37,42.940867
57,42.940867
34,42.946675
46,42.954162
48,42.969788
52,43.075469
47,43.104422
70,43.104422
