estimate,reserve_group,owner_group,forest_group,ref_unit,agerange
180533.379994634,NR,FS,MC,Southern,AGEID999
50873.4913128906,NR,PR,DF,Sacramento,AGEID4
369427.456284133,R,FS,MC,San Joaquin,AGEID3
1549470.91145616,R,FS,HW,North Interior,AGEID999
792700.662159933,NR,FS,HW,North Interior,AGEID4
574289.603044611,NR,FS,OS,North Interior,AGEID16
1888176.20415869,NR,FS,OS,Sacramento,AGEID10
132115.453795107,NR,FS,HW,Southern,AGEID999
602966.804382627,NR,FS,OS,Sacramento,AGEID15
375748.563906871,R,FS,HW,San Joaquin,AGEID12
7187044.28868094,R,FS,MC,North Interior,AGEID999
1166403.42607478,NR,FS,MC,North Interior,AGEID4
1425865.09337375,R,FS,OS,San Joaquin,AGEID12
160247.237756545,NR,FS,HW,Central Coast,AGEID9
2274343.32557517,NR,FS,MC,North Interior,AGEID16
354585.149437953,NR,FS,HW,Sacramento,AGEID10
69948.1231739047,R,FS,OS,San Joaquin,AGEID3
158143.755592978,NR,OF,HW,North Coast,AGEID16
192199.91482448,NR,FS,OS,Southern,AGEID999
113809.170386714,NR,FS,OS,North Interior,AGEID4
1189104.32131258,R,FS,OS,North Interior,AGEID999
375612.957736135,NR,FS,HW,North Interior,AGEID16
1741402.89727992,NR,FS,MC,Sacramento,AGEID15
670461.269840489,NR,PR,RW,Central Coast,AGEID13
251691.833215744,R,SLPub,MC,San Joaquin,AGEID18
5199416.79108393,NR,FS,MC,Sacramento,AGEID10
376373.240091144,NR,OF,DF,North Coast,AGEID6
1317954.07187475,NR,PR,HW,North Coast,AGEID11
971480.553598882,NR,FS,OS,San Joaquin,AGEID11
425576.682842333,NR,FS,DF,North Coast,AGEID8
1374512.82590154,NR,PR,MC,North Interior,AGEID2
3355074.81840751,NR,PR,MC,Sacramento,AGEID6
202728.133100465,NR,FS,DF,North Coast,AGEID14
413457.044410224,NR,FS,DF,North Coast,AGEID9
1455934.91122449,NR,PR,HW,Sacramento,AGEID6
711967.062808363,NR,PR,HW,North Coast,AGEID1
691450.341177569,NR,PR,HW,North Interior,AGEID2
191180.211184218,NR,FS,OS,Sacramento,NOAGE
187492.657284829,R,FS,HW,North Coast,AGEID19
68154.5957322365,NR,FS,OS,North Interior,AGEID5
234401.50298597,R,FS,DF,North Coast,AGEID7
1452927.46991065,NR,FS,HW,Sacramento,NOAGE
1327815.65908668,NR,PR,NS,Sacramento,AGEID0
815165.056939379,NR,FS,HW,North Interior,AGEID5
674224.295397391,NR,PR,OS,Sacramento,AGEID6
569917.801814064,NR,FS,HW,San Joaquin,AGEID1
157028.126724627,NR,PR,OS,North Interior,AGEID2
2994041.35931599,NR,FS,MC,San Joaquin,AGEID11
1897946.00854977,NR,FS,MC,North Interior,AGEID5
223276.586508598,NR,FS,MC,Sacramento,NOAGE
379933.801992035,NR,FS,HW,San Joaquin,AGEID11
53146.5455317861,NR,FS,MC,San Joaquin,AGEID1
121842.94682149,NR,OF,HW,North Coast,AGEID5
187492.657284829,R,FS,DF,North Coast,AGEID13
196885.310382155,R,SLPub,NS,Southern,AGEID0
311605.517405803,R,SLPub,HW,Central Coast,AGEID13
582183.201122453,R,FS,OS,San Joaquin,AGEID18
843454.004753562,NR,PR,OS,North Interior,AGEID10
252287.088651234,NR,OF,DF,North Coast,AGEID4
202728.133100465,NR,FS,PP,San Joaquin,AGEID13
153855.379434501,NR,PR,MC,Sacramento,AGEID4
239669.311873026,R,FS,DF,North Interior,AGEID999
735092.555476678,NR,PR,HW,Sacramento,AGEID4
617032.523026236,NR,PR,OS,Sacramento,AGEID16
81362.3850918283,R,FS,PP,North Interior,NOAGE
210898.65590588,NR,PR,MC,North Interior,AGEID15
316074.734656046,NR,PR,HW,Sacramento,AGEID16
62137.3005080213,NR,OF,OS,San Joaquin,AGEID15
3886610.27410741,NR,PR,MC,North Interior,AGEID10
612700.919413044,NR,FS,PP,San Joaquin,AGEID7
562794.813107266,R,FS,MC,San Joaquin,AGEID18
251890.394736422,R,FS,PP,San Joaquin,AGEID17
176748.15859289,NR,PR,HW,Central Coast,AGEID11
259778.229010729,NR,PR,MC,Sacramento,AGEID16
169076.297038714,NR,PR,HW,North Interior,AGEID15
1797174.32596847,NR,PR,HW,North Interior,AGEID10
430260.282114127,R,FS,PP,San Joaquin,AGEID9
18912.0720682649,R,FS,PP,San Joaquin,AGEID14
179687.868684605,NR,SLPub,HW,Sacramento,AGEID10
828078.10932416,NR,FS,HW,North Interior,AGEID6
545726.928904996,NR,FS,HW,Sacramento,AGEID2
96451.2134985556,NR,OF,HW,North Interior,AGEID8
194620.441684953,NR,FS,MC,North Coast,AGEID8
161240.825131433,NR,OF,HW,North Interior,AGEID9
904341.326901248,NR,PR,DF,North Coast,AGEID1
80662.9257089366,R,OF,MC,North Interior,AGEID7
189784.398695189,NR,PR,RW,North Coast,AGEID13
213660.074842554,NR,OF,HW,Sacramento,AGEID11
459284.535148202,NR,PR,OS,Sacramento,AGEID5
296658.949465591,NR,OF,MC,North Interior,AGEID8
771407.699190404,NR,FS,HW,North Coast,AGEID9
257217.699754233,NR,PR,OS,San Joaquin,AGEID9
386684.911781281,NR,OF,HW,San Joaquin,NOAGE
1529.46831510397,R,FS,MC,North Coast,AGEID7
1193788.25380023,NR,FS,MC,North Interior,AGEID6
734352.405760029,NR,FS,MC,Sacramento,AGEID2
182188.517191216,NR,PR,DF,North Coast,AGEID11
76671.779938596,NR,OF,HW,Sacramento,AGEID1
618439.615480282,NR,FS,HW,North Coast,AGEID8
251691.833215744,NR,SLPub,DF,North Coast,AGEID9
141707.081715262,NR,OF,MC,North Interior,AGEID9
225521.879133172,R,FS,OS,North Coast,AGEID13
753402.955946555,NR,PR,MC,Sacramento,AGEID5
55330.2513404145,R,FS,PP,Central Coast,AGEID11
226799.705347711,R,FS,OS,San Joaquin,AGEID20
194620.441684953,R,FS,HW,North Coast,AGEID13
219542.592410595,NR,PR,MC,North Interior,NOAGE
416758.363614887,NR,PR,HW,San Joaquin,AGEID8
142475.175747013,NR,FS,OS,North Coast,AGEID8
139990.081036842,R,OF,MC,North Interior,AGEID13
1594159.20654756,NR,PR,RW,North Coast,AGEID7
175022.435672815,R,FS,PP,North Interior,AGEID10
1155689.29944322,NR,PR,HW,San Joaquin,AGEID9
225521.879133172,NR,FS,OS,North Coast,AGEID9
202728.133100465,R,FS,MC,North Coast,AGEID13
479401.680968297,NR,PR,HW,North Interior,NOAGE
1970675.72776711,NR,PR,MC,San Joaquin,AGEID8
298513.308080447,NR,OF,OS,North Interior,AGEID9
3897993.01540089,NR,FS,NS,North Interior,AGEID0
296329.540868185,NR,SLPub,HW,Sacramento,NOAGE
666257.681115971,NR,PR,HW,Sacramento,AGEID5
1402969.97369703,NR,FS,OS,North Interior,AGEID6
490014.157021741,NR,PR,MC,San Joaquin,AGEID14
203515.222966181,R,FS,OS,North Coast,AGEID7
498948.480567758,NR,PR,MC,San Joaquin,AGEID9
366129.051721603,NR,OF,OS,North Interior,AGEID8
165599.991421597,NR,OF,PP,Sacramento,AGEID6
466173.375187365,NR,FS,MC,North Coast,AGEID999
860732.041043049,NR,FS,PP,Sacramento,AGEID8
227614.755501763,NR,PR,RW,Central Coast,AGEID6
188623.175462017,NR,OF,HW,North Interior,AGEID999
2079170.58939055,NR,FS,PP,North Interior,AGEID11
34617.9394265474,NR,FS,PP,Sacramento,AGEID14
1436701.70711589,NR,FS,PP,Sacramento,AGEID9
121839.60799338,NR,FS,HW,Sacramento,AGEID18
389240.883369906,NR,FS,HW,North Coast,AGEID999
172261.056477006,R,FS,HW,North Coast,AGEID4
192199.91482448,NR,FS,PP,San Joaquin,AGEID5
251691.833215744,NR,SLPub,RW,North Coast,AGEID10
302821.366709218,NR,FS,PP,North Interior,AGEID1
251691.833215744,R,SLPub,MC,San Joaquin,AGEID10
46034.4088523064,R,FS,PP,Sacramento,AGEID7
627395.160622747,NR,FS,MC,Sacramento,AGEID18
435745.78138444,R,FS,NS,Central Coast,AGEID0
273371.317677172,R,OF,MC,North Interior,AGEID16
78453.6821417937,NR,PR,PP,San Joaquin,AGEID2
921065.537087446,NR,PR,MC,North Interior,AGEID3
1460588.56644488,NR,PR,MC,North Interior,AGEID12
840187.549263764,NR,FS,OS,Sacramento,AGEID18
253045.864926919,NR,PR,HW,North Interior,AGEID3
214063.679234751,NR,PR,HW,North Interior,AGEID12
1459763.19298976,NR,PR,RW,North Coast,AGEID4
192199.91482448,NR,FS,HW,North Interior,AGEID19
499607.385582948,R,OF,OS,San Joaquin,AGEID11
813788.141780136,NR,FS,PP,San Joaquin,AGEID16
444007.475637389,R,FS,OS,North Coast,AGEID5
188768.874911808,R,SLPub,MC,North Interior,AGEID8
291254.392539296,R,SLPub,HW,Central Coast,AGEID16
884109.79665234,R,SLPub,HW,North Coast,AGEID6
1418977.4795062,NR,PR,HW,Sacramento,AGEID7
190605.404276479,R,OF,OS,San Joaquin,AGEID1
1180080.87657579,NR,PR,RW,North Coast,AGEID5
1008397.82014776,NR,FS,MC,North Interior,AGEID19
3417427.19192667,NR,PR,MC,Sacramento,AGEID7
253045.864926919,R,OF,MC,San Joaquin,AGEID11
143457.497394548,NR,PR,HW,Sacramento,AGEID13
251691.833215744,R,SLPub,DF,North Coast,AGEID5
743193.914417238,NR,PR,OS,Sacramento,AGEID7
565403.782372321,NR,PR,MC,Sacramento,AGEID13
